,job_title,job_type,experience_level,location,salary_currency,salary
0,Data scientist,Full Time,Senior,New York City,USD,149000
2,Data scientist,Full Time,Senior,Boston,USD,120000
3,Data scientist,Full Time,Senior,London,USD,68000
4,Data scientist,Full Time,Senior,Boston,USD,120000
5,Data scientist,Full Time,Senior,New York City,USD,149000
6,Data scientist,Full Time,Senior,London,USD,68000
7,Data scientist,Full Time,Senior,Research Triangle Park,USD,69000
8,Data scientist,Full Time,Senior,Sydney,USD,68000
9,Data scientist,Full Time,Senior,San Francisco,USD,140000
10,Data scientist,Full Time,Senior,Sofia,USD,68000
12,Data scientist,Full Time,Entry,BangPa-in,USD,35000
15,Data scientist,Full Time,Senior,Berlin,USD,68000
17,Data scientist,Full Time,Senior,NAMER,USD,68000
18,Data scientist,Full Time,Senior,Remote,USD,68000
20,Data scientist,Full Time,Senior,San Jose,USD,68000
22,Data scientist,Full Time,Senior,Petaling Jaya,USD,55000
23,Data scientist,Full Time,Senior,Englewood,USD,68000
24,Data scientist,Full Time,Senior,Pune,USD,68000
25,Data scientist,Full Time,Senior,London,USD,68000
26,Data scientist,Full Time,Mid,Remote,USD,40000
27,Data scientist,Full Time,Entry,Paris,USD,36000
28,Data scientist,Internship,Entry,Paris,USD,36000
30,Data scientist,Full Time,Mid,Gothenburg,USD,40000
31,Data scientist,Internship,Entry,Mountain View,USD,56000
32,Data scientist,Full Time,Executive,San Francisco,USD,130000
34,Data scientist,Full Time,Senior,San Jose,USD,68000
35,Data scientist,Full Time,Senior,Porto,USD,56000
36,Data scientist,Internship,Entry,Mountain View,USD,56000
37,Data scientist,Full Time,Senior,Ontario,USD,68000
38,Data scientist,Full Time,Senior,Brooklyn,USD,104000
40,Data scientist,Full Time,Mid,Sydney,USD,62000
41,Data scientist,Full Time,Senior,Remote- US,USD,150000
42,Data scientist,Full Time,Senior,Cambridge,USD,68000
44,Data scientist,Full Time,Mid,La Libertad,USD,40000
45,Data scientist,Full Time,Senior,San Francisco,USD,161000
47,Data scientist,Full Time,Senior,London,USD,68000
48,Data scientist,Full Time,Senior,Lithuania | UK,USD,68000
50,Data scientist,Full Time,Senior,Chicago,USD,68000
51,Data scientist,Full Time,Senior,Remote,USD,68000
52,Data scientist,Full Time,Senior,Remote- US,USD,150000
53,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,40000
